original_url,source_website,resolution,search_query,local_path,short_caption
https://cdnmedia.baotintuc.vn/2017/04/17/11/05/xe-tren-via-hew%20(2).jpg,baotintuc.vn,550x301,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_44e6a0f4.jpg,
https://cdn.thaibinhtv.vn/upload/news/47681_tai_lan_chiem_via_he_tai_xa_dong_xuan.jpg,Truyền Hình Thái Bình,960x540,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_e91d4ee1.jpg,
https://tuongtac.thuathienhue.gov.vn/UploadFiles/PhanAnh/2022/07/2022.7.27__nguyen_trai_1.jpg,Phản ánh hiện trường,960x1280,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_250b2d50.jpg,
https://media.vietnamplus.vn/images/7255a701687d11cb8c6bbc58a6c80785f710f21e4ee0c569955a3ad40186fac28b817a72d66b76101457b263e7f4e2cd6f691d8da5d65656a437a332a07be35b/lat-da-via-he-4-4660.jpg,Vietnam+ (VietnamPlus),1000x694,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_6a0741e3.jpg,
https://congan.namdinh.gov.vn/SiteFolders/congantinh/0.2014/Thang%2010/PC06%20ra%20quan%2010%2010/1.jpg,Công an tỉnh,960x1280,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_214e1b25.jpg,
https://cdn.thuviennhadat.vn/upload/hinh-anh-bai-viet/VHNH/chay-xe-tren-via-he.jpg,THƯ VIỆN NHÀ ĐẤT,600x400,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_c613b020.jpg,
https://images.kienthuc.net.vn/zoom/800/uploaded/trucchinh2/2020_08_11/quan-via-he-viet-nam-moc-len-giua-seoul-hinh-2.jpg,kienthuc.net.vn,660x581,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_68536955.jpg,
https://cdn-i.doisongphapluat.com.vn/resize/th/upload/2024/05/18/xe-may-lan-chiem-via-he-phat-bao-nhieu-1-17335623.jpeg,Đời sống & Pháp luật,820x546,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_a9bfe32e.jpeg,
https://img.giaoduc.net.vn/w1000/Uploaded/2025/bzivdqmb/2016_08_23/GDVN_anh_sai_pham_VLXD_tai_phuong_giap_bat5jpg.jpg,Giaoduc.net,800x512,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_e1575ec1.jpg,
https://tp-vinh-admin-api.vts-paht.com/Upload/PhanAnh/11106/hinhanh/6375701670590240649583_0.png,Chi tiết phản ánh,4224x1952,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_c16cf790.png,
https://cdnphoto.dantri.com.vn/GWI60Tn3DYHkw3eT0r1npM0bvwM=/thumb_w/1920/2024/11/15/ha-noi-ngon-ngang-lat-da-via-he-dip-cuoi-nam-3-edited-1731633744581.jpeg,Dân trí,1920x1280,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_c0715417.jpeg,
https://vietnamese.korea.net/upload/content/editImage/190228_nowinhanoi_article01.jpg,Korea.net,700x418,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_5b769447.jpg,
https://media.vneconomy.vn/w800/images/upload/2023/07/27/tp-hcm-thu-phi-su-dung-long-duong-via-he-tu-1-9.jpg,VnEconomy,800x577,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_cf4147b2.jpg,
http://media.anhp.vn:8081/files/2024/07IMG_20240716_084634.jpg,BÁO AN NINH HẢI PHÒNG,1276x956,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_6a935873.jpg,
https://vnmedia.vn/file/8a10a0d36ccebc89016ce0c6fa3e1b83/old_image/201704/original/images1916662_tem_LZGW.JPG,VnMedia,653x436,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_3322897d.JPG,
http://quanly.moitruongvadothi.vn/Includes/NewsImg/5_2021/11609_1.jpg,Quản lý Môi trường - Chuyên trang của TC Môi trường và Đô ...,750x502,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_89d257cd.jpg,
https://i.ytimg.com/vi/vUNjA3BIyAM/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLCnoBr4MXdY4GDJCnc8aAckEfT63w,YouTube,686x386,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_4bea4daa.jpg,
https://cdn.haiphong.gov.vn/gov-hpg/upload/ngoquyen/product/2023/4/z4245741698122_e5b266c175286aee6971eacf97b4afdf-54fcd7e5d94543d7abef252fb9b13086.jpg?maxwidth=2048,Quận Ngô Quyền - Thành phố Hải Phòng,2568x1926,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_70671365.jpg,
https://suckhoedoisong.qltns.mediacdn.vn/324455921873985536/2022/10/19/hoa-3-large-16661493264061556248345-1666154319831671917119.jpeg,Sức khỏe đời sống,1280x960,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_7abd4f40.jpeg,
https://image.plo.vn/w1000/Uploaded/2025/liwbzivo/2023_09_18/via-he-8-6410-7433.jpg.webp,PLO,1000x750,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_865ace82.webp,
https://laodongthudo.vn/stores/news_dataimages/thamle/042021/17/20/4332_IMG_9015.jpg?rt=20210417204335,Báo Lao động thủ đô,1000x667,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_5780a737.jpg,
https://kenh14cdn.com/203336854389633024/2024/10/11/7b2a0509-16598548429591828390669-1728646953134293169311-1728648128824-1728648128964824735768.jpg,Kenh14,2000x1333,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_7389b175.jpg,
https://tapchigiaothong.qltns.mediacdn.vn/481400261263945728/2023/3/22/base64-1679456574976493777035.png,Tạp chí Giao thông vận tải,911x683,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_8fc3b1fa.png,
https://nads.1cdn.vn/2024/05/08/z5419913407830_51d11d24a61ddb8c9d0ed4f9fe07d108.jpg,Tạp chí Nhiếp ảnh và Đời sống,1020x706,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_28de4653.jpg,
https://images2.thanhnien.vn/528068263637045248/2024/5/9/img0165-1715234946992341488809.jpg,Báo Thanh Niên,2560x1709,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_52c49a64.jpg,
https://cdn-i.vtcnews.vn/resize/ma/upload/2024/05/09/tran-hung-dao-6-12515733.jpg,VTC News,1920x1280,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_d7fd7512.jpg,
https://gvcviet.com/wp-content/uploads/2019/04/IMG_6585.jpg,Granite Việt,800x533,vỉa hè đường phố việt nam,./images\vỉa_hè_đường_phố_việt_nam_3956b5cd.jpg,
